ID,First Name,Last Name,Class Level,Desired Class,Credits,Points
76993535,Emmanuel,Lee,Grad,COMP 100,42,90
77263425,Lilah,Campos,Grad,COMP 100,37,145
89294799,Oliver,Roberson,Junior,COMP 110,35,128
81542921,Tanner,Floyd,Junior,COMP 100,96,340
15848301,Steel,Talley,Sophomore,COMP 182,23,42
36392217,Kyla,Lloyd,Grad,COMP 110,126,33
96463250,Wynne,Giles,Grad,COMP 182,12,27
31272309,Ronan,Dotson,Senior,COMP 110,106,155
14114503,Hunter,Contreras,Senior,COMP 182,30,52
64467177,Slade,Compton,Junior,COMP 100,9,35
65987901,Kirk,Sherman,Sophomore,COMP 182,0,0
32490224,Orson,Rich,Junior,COMP 100,78,61
35367114,Ginger,Mccarthy,Senior,COMP 100,3,6
41562058,Flynn,Clements,Sophomore,COMP 110,29,32
33009618,Athena,Mack,Junior,COMP 182,78,8
88984483,Jaquelyn,Holt,Senior,COMP 182,154,559
42000332,Fletcher,Jensen,Senior,COMP 110,139,175
83650071,Ivy,Vasquez,Freshman,COMP 110,15,9
5675346,Fay,Rosario,Sophomore,COMP 182,28,49
12714532,Walter,Fischer,Senior,COMP 100,6,16
18055017,Ciaran,Finley,Grad,COMP 100,76,63
84742847,Rae,Horne,Junior,COMP 110,38,40
24545330,Arthur,Dean,Junior,COMP 182,28,71
8923223,Phelan,Bowers,Freshman,COMP 182,15,16
91539576,Maggie,Shields,Freshman,COMP 182,20,31
13724967,Phillip,Burns,Freshman,COMP 110,17,24
73618902,Jolie,Fuentes,Senior,COMP 100,64,233
30098630,Aphrodite,Parks,Freshman,COMP 100,3,7
92940925,MacKensie,Anderson,Senior,COMP 100,20,10
89578735,Upton,Kane,Sophomore,COMP 100,74,253
20580931,Donna,Stephens,Senior,COMP 100,63,152
57492361,Lois,Harris,Senior,COMP 110,75,216
18556841,Ross,Dale,Grad,COMP 110,69,238
78142625,Hedwig,Gonzales,Freshman,COMP 182,15,27
20000918,Cedric,Weber,Sophomore,COMP 110,35,34
68474148,Eleanor,Sweeney,Grad,COMP 100,58,145
16682221,Ariel,Heath,Sophomore,COMP 100,63,116
77776652,Hayes,Hoover,Freshman,COMP 110,8,4
6411818,Micah,Serrano,Junior,COMP 110,10,3
52280712,Steven,Oconnor,Junior,COMP 100,6,21
41510292,Henry,Wooten,Freshman,COMP 110,15,15
49299022,Camden,Calhoun,Grad,COMP 182,55,88
47026894,Jolene,Chen,Junior,COMP 100,31,62
33371696,Tanek,Rosario,Grad,COMP 182,0,0
30677475,Harriet,Murray,Freshman,COMP 100,33,116
50782999,Hakeem,Morse,Freshman,COMP 182,29,32
76273495,Michelle,Waller,Junior,COMP 182,24,23
12294382,Micah,Stuart,Grad,COMP 182,190,300
35364638,Madonna,Richmond,Grad,COMP 110,139,131
19396623,Carla,Simpson,Sophomore,COMP 182,54,8
38174516,Byron,Jensen,Sophomore,COMP 100,3,5
18235647,Berk,Ellis,Freshman,COMP 182,11,7
17795015,Kim,Donovan,Sophomore,COMP 100,52,122
64853620,Levi,Walls,Grad,COMP 182,20,15
77767329,Jelani,Raymond,Sophomore,COMP 182,75,79
29534304,Christian,Swanson,Grad,COMP 182,10,15
84972431,Josiah,Wiggins,Sophomore,COMP 100,61,113
17966811,Gail,Durham,Freshman,COMP 100,14,48
27009020,Cheryl,Newton,Grad,COMP 100,86,161
7884281,Fatima,Le,Freshman,COMP 100,24,48
40801253,Margaret,Dunlap,Senior,COMP 110,148,34
24954954,Vernon,Christensen,Grad,COMP 182,172,345
71073144,Briar,Figueroa,Sophomore,COMP 100,34,11
37004658,Alden,Chambers,Sophomore,COMP 110,60,159
2990342,Rana,Armstrong,Grad,COMP 110,86,233
65453036,Emery,Boone,Sophomore,COMP 110,57,65
1008653,Fuller,Lynch,Freshman,COMP 182,32,17
93986179,Addison,Bartlett,Sophomore,COMP 100,70,1
64422026,Vance,Walls,Junior,COMP 182,75,104
22964083,Clarke,Porter,Senior,COMP 100,18,7
30997356,Virginia,Love,Freshman,COMP 110,25,54
96727306,Priscilla,Silva,Sophomore,COMP 182,47,67
30987580,Vivian,Lloyd,Sophomore,COMP 110,37,5
59269467,Darius,Carpenter,Junior,COMP 182,56,175
67181258,Joy,Bauer,Grad,COMP 100,103,19
915470,Demetrius,Lott,Freshman,COMP 110,9,10
58655790,Gil,Swanson,Grad,COMP 110,156,272
3995927,Rama,Leach,Senior,COMP 100,124,74
7695078,Catherine,Gould,Grad,COMP 100,180,675
88525492,Yvonne,Abbott,Freshman,COMP 100,1,3
68584058,Ishmael,Cantu,Sophomore,COMP 110,16,8
51326230,Eugenia,Casey,Senior,COMP 100,29,0
45885908,Merritt,Huff,Senior,COMP 100,121,431
23653221,Isabelle,Finch,Senior,COMP 182,121,279
17552694,Charde,Holcomb,Sophomore,COMP 110,19,34
97929193,Boris,Copeland,Sophomore,COMP 100,67,189
69022076,Jada,Barber,Sophomore,COMP 100,2,0
32691450,Whitney,Farmer,Sophomore,COMP 182,50,38
36917283,Deacon,Day,Freshman,COMP 100,9,19
92526985,Gisela,Figueroa,Junior,COMP 100,105,23
1453574,Hanae,Lambert,Sophomore,COMP 182,34,62
85764844,Amity,Kim,Freshman,COMP 100,31,6
72344362,Audra,Brady,Sophomore,COMP 182,28,16
35989167,Alika,Holden,Sophomore,COMP 100,4,11
71238336,Chaim,Smith,Junior,COMP 110,18,0
68373457,Noble,Cervantes,Grad,COMP 110,77,224
89506559,Hilary,Nieves,Grad,COMP 182,96,142
28149352,Rose,Lamb,Freshman,COMP 110,28,73
74742015,Illiana,Eaton,Freshman,COMP 110,11,5
43793474,Michelle,Kemp,Senior,COMP 110,29,24
99430700,Shaine,Rhodes,Sophomore,COMP 100,7,4
65753509,Flynn,Fry,Senior,COMP 182,47,143
38166651,Evelyn,Walter,Junior,COMP 110,8,2
30295405,Zorita,Jarvis,Freshman,COMP 100,27,40
44666864,Tasha,Ramsey,Junior,COMP 100,43,18
56466582,Rafael,Pierce,Freshman,COMP 110,5,1
71766740,Abel,Key,Grad,COMP 110,142,384
67380791,Charlotte,Sargent,Grad,COMP 182,148,562
55735956,Eugenia,Thompson,Grad,COMP 110,166,623
33536157,Wyatt,Petersen,Freshman,COMP 100,21,73
5332317,Marah,Logan,Grad,COMP 110,156,33
56910087,Kaitlin,Moss,Senior,COMP 110,84,325
40126149,Merritt,Kirby,Freshman,COMP 100,26,44
81158595,Nicholas,Nixon,Grad,COMP 110,167,320
53408310,Caesar,Davis,Junior,COMP 100,5,5
7227564,Germane,Weaver,Sophomore,COMP 182,33,79
62602852,Samuel,Davis,Sophomore,COMP 110,64,150
18406686,Gage,Calhoun,Freshman,COMP 100,32,33
9219154,Gil,Oneill,Senior,COMP 110,149,580
79103658,Teegan,Dudley,Senior,COMP 100,110,190
89074012,Christen,Christian,Grad,COMP 100,81,188
19941679,Todd,Jackson,Freshman,COMP 110,11,38
80595332,Dolan,West,Junior,COMP 110,20,79
37182599,Maggie,Ewing,Freshman,COMP 182,27,32
17879022,Angelica,Payne,Junior,COMP 100,9,29
37046918,Byron,Wyatt,Senior,COMP 110,143,404
85883820,Maia,Rojas,Junior,COMP 110,100,17
50319786,Leilani,Skinner,Senior,COMP 182,44,171
15787652,Clayton,Solis,Junior,COMP 100,27,46
1562891,Quintessa,Winters,Senior,COMP 110,149,470
32319862,Rogan,Brady,Freshman,COMP 182,28,111
11810161,Dara,Chaney,Freshman,COMP 100,5,15
23158028,Eden,Sellers,Grad,COMP 110,92,139
15902964,Omar,Houston,Junior,COMP 182,24,94
72290601,Doris,Faulkner,Grad,COMP 100,199,89
47849920,Reese,Henry,Freshman,COMP 182,29,20
86247987,Megan,Abbott,Senior,COMP 110,151,568
58061024,Deacon,Allen,Grad,COMP 182,75,143
81767024,Walker,Hickman,Grad,COMP 182,130,404
18072772,Alden,Gregory,Junior,COMP 110,29,89
99041509,Mara,Brennan,Sophomore,COMP 100,50,83
16408351,Cathleen,Mcfadden,Freshman,COMP 110,15,25
87115759,Stuart,Walker,Grad,COMP 182,29,6
49469648,Sierra,Rowe,Freshman,COMP 100,19,28
27420561,Xaviera,Bryant,Junior,COMP 182,74,201
4963696,Jackson,Cain,Grad,COMP 110,35,53
99075172,Jenna,Ayers,Grad,COMP 182,192,208
3188229,Ciaran,Daugherty,Grad,COMP 182,64,141
64209034,Xanthus,Blankenship,Senior,COMP 110,5,6
3819956,Alfonso,Stanley,Grad,COMP 182,142,505
65961806,Denise,Scott,Junior,COMP 110,21,20
22445185,Isaiah,Rich,Sophomore,COMP 182,70,226
95592832,Alma,Santiago,Senior,COMP 182,84,115
18879272,Jayme,Cummings,Sophomore,COMP 100,1,3
33117345,Yetta,Mcfarland,Junior,COMP 100,119,404
25588975,Tyler,Woodard,Freshman,COMP 110,34,129
74210601,Burton,Baxter,Senior,COMP 100,106,56
23942541,Hiroko,Herrera,Junior,COMP 182,50,68
95112886,Fletcher,Sanford,Junior,COMP 110,30,60
55791484,Owen,Schroeder,Senior,COMP 110,122,76
52464372,Vielka,Chen,Freshman,COMP 100,17,2
78541738,Gail,Stark,Senior,COMP 182,109,312
9150929,Melinda,Jacobs,Grad,COMP 110,195,72
67879069,Bevis,Walker,Grad,COMP 110,38,125
44961473,Rhoda,Leonard,Grad,COMP 182,67,164
82524833,Carson,Pollard,Senior,COMP 182,137,329
16841339,Chase,Dyer,Grad,COMP 182,49,189
55745314,Cherokee,Leon,Sophomore,COMP 182,22,23
14143515,Daryl,Finch,Senior,COMP 182,61,66
58555381,Sara,Acosta,Freshman,COMP 110,19,58
3016286,Hayfa,Russo,Freshman,COMP 110,8,4
35518035,Blaine,Rosales,Junior,COMP 110,83,102
70875200,Giselle,Valentine,Sophomore,COMP 100,35,98
587715,Aidan,Collins,Freshman,COMP 110,6,6
26371181,Portia,Potts,Freshman,COMP 182,14,34
27713763,Charity,Pugh,Sophomore,COMP 100,72,174
63930123,Kirk,Shaw,Sophomore,COMP 110,65,86
99414885,Raven,Banks,Senior,COMP 182,126,357
590595,Sydney,Melton,Grad,COMP 110,180,590
6573351,India,Gonzalez,Junior,COMP 110,110,61
33018214,Ian,Mcknight,Senior,COMP 182,7,15
12749563,Burton,Bird,Grad,COMP 100,149,52
62424066,Odessa,Underwood,Junior,COMP 100,62,68
76751811,Kasimir,Landry,Freshman,COMP 110,9,13
12532708,Hayley,Ward,Sophomore,COMP 110,72,236
11798912,Kylynn,Baldwin,Junior,COMP 100,88,213
48363534,Camilla,Christian,Junior,COMP 182,31,74
21775981,Logan,Weiss,Senior,COMP 110,108,300
16705452,Veda,Madden,Grad,COMP 110,33,127
67781242,Aspen,Levine,Sophomore,COMP 110,42,122
74513483,Kenyon,Hickman,Senior,COMP 110,74,125
11090834,Carl,Estrada,Senior,COMP 182,130,308
57137597,Basia,Pace,Grad,COMP 110,174,493
12108325,Vincent,Huffman,Junior,COMP 182,25,92
18284123,Lillian,Macias,Grad,COMP 110,18,24
32506244,Jaden,Woodard,Grad,COMP 100,109,408
11061461,Francesca,Bartlett,Freshman,COMP 110,21,12
25743273,Aquila,Boone,Sophomore,COMP 100,12,39
22070826,Hop,Weiss,Junior,COMP 182,31,116
23236592,Sarah,May,Senior,COMP 100,77,82
44945094,Amethyst,Merritt,Senior,COMP 182,142,215
91112182,Olga,Wiggins,Senior,COMP 100,102,256
93981221,Mechelle,Robbins,Grad,COMP 100,47,0
43095730,Maia,Stanley,Sophomore,COMP 182,13,16
72201263,Judah,Wolfe,Freshman,COMP 110,33,50
95407783,Josiah,Dudley,Freshman,COMP 110,17,27
13568866,Brenda,French,Junior,COMP 182,47,67
54002369,McKenzie,Wolfe,Junior,COMP 110,93,216
21121912,Daquan,Ochoa,Junior,COMP 110,104,368
56248911,Barry,Jensen,Grad,COMP 110,81,317
46103234,Jade,Oneil,Senior,COMP 182,112,49
15477130,Nigel,Church,Sophomore,COMP 100,54,43
32958829,Clayton,Singleton,Freshman,COMP 110,28,83
33909414,Laith,Lamb,Freshman,COMP 182,38,135
86230462,Logan,Santana,Sophomore,COMP 110,41,158
77249565,Kessie,Mcneil,Senior,COMP 110,32,117
75500807,Melanie,Langley,Junior,COMP 110,17,13
62070586,Wanda,Pace,Freshman,COMP 100,29,29
70214944,Raphael,Short,Junior,COMP 100,15,27
52684757,Zena,Banks,Senior,COMP 110,140,11
40519662,Lacy,Lewis,Grad,COMP 110,62,214
97763224,Neil,Barron,Junior,COMP 110,109,432
47416334,Sarah,Hurst,Freshman,COMP 110,11,19
82567876,Nola,Marshall,Senior,COMP 182,133,358
70755625,Tarik,Henry,Freshman,COMP 110,21,48
97684261,Sylvester,Conrad,Junior,COMP 100,73,243
7725587,Piper,Tate,Grad,COMP 100,56,81
44946761,Rafael,Leblanc,Senior,COMP 110,117,49
98757448,Brian,Garrett,Junior,COMP 182,44,174
5958251,Jamal,Wooten,Junior,COMP 182,113,450
371444,Nash,Goff,Grad,COMP 182,52,0
22553154,Brody,Alvarez,Senior,COMP 100,49,3
75545784,George,Black,Senior,COMP 100,141,232
4640296,Silas,Mcintyre,Freshman,COMP 110,3,11
42907267,Fulton,Whitfield,Sophomore,COMP 110,58,54
45697312,Lara,Neal,Junior,COMP 100,43,146
61343627,Gregory,Maxwell,Sophomore,COMP 182,26,55
28482737,Chiquita,Langley,Junior,COMP 100,39,30
47490960,Logan,Fitzpatrick,Grad,COMP 182,61,66
74327955,Cally,Vance,Sophomore,COMP 182,14,43
40667219,Kay,Flowers,Grad,COMP 100,65,163
63449437,Joan,King,Senior,COMP 110,80,89
4152499,Gareth,Battle,Grad,COMP 100,125,185
23608684,Valentine,Robertson,Sophomore,COMP 110,45,157
30857993,Jennifer,Richardson,Junior,COMP 110,118,300
80812254,Gloria,Harrell,Senior,COMP 110,148,66
14465616,Whilemina,Gutierrez,Senior,COMP 100,114,147
90956272,Michelle,Stevenson,Senior,COMP 100,108,375
88756016,Winifred,Middleton,Junior,COMP 100,75,70
18584841,Charles,Cantu,Grad,COMP 110,98,374
1256425,Bryar,Moran,Junior,COMP 110,106,85
49988,Drew,Watson,Junior,COMP 110,63,251
79411463,Lyle,Phelps,Junior,COMP 100,40,93
65847217,Adena,Rush,Junior,COMP 100,9,30
14098848,Sylvia,Payne,Sophomore,COMP 100,71,144
75231815,Cruz,Juarez,Sophomore,COMP 182,4,5
50807019,Keelie,Peters,Junior,COMP 100,39,0
97233498,Xantha,Page,Freshman,COMP 110,6,18
1376448,Phyllis,Cash,Freshman,COMP 182,37,75
87653168,Benjamin,Griffith,Sophomore,COMP 100,29,20
36603469,Zelenia,Alexander,Senior,COMP 110,19,19
37963356,Joseph,Pugh,Freshman,COMP 110,27,41
50721674,Alfreda,Cantrell,Grad,COMP 100,190,327
55957862,Alice,Blackburn,Senior,COMP 110,116,298
37905574,Leo,Cervantes,Senior,COMP 182,51,194
98596614,Orli,Greer,Grad,COMP 100,32,110
79244677,Veronica,Rogers,Junior,COMP 110,107,28
74444560,Tad,Dorsey,Junior,COMP 182,0,0
32131771,Briar,Keller,Sophomore,COMP 110,14,7
35997839,Oliver,Barrett,Senior,COMP 100,100,209
86230407,Bruno,Velez,Freshman,COMP 100,37,21
41241015,Alexa,Torres,Junior,COMP 110,105,71
86876984,Florence,Rodriquez,Freshman,COMP 100,35,35
5855154,Hiroko,Downs,Junior,COMP 182,51,96
55071644,Keiko,Dixon,Grad,COMP 110,27,38
21040031,Marny,Hays,Freshman,COMP 182,15,15
83843783,Adrienne,Valdez,Grad,COMP 100,64,99
92956956,Nina,Mullen,Sophomore,COMP 182,12,6
56870882,Maris,Moreno,Junior,COMP 110,9,24
17445145,Cara,Forbes,Sophomore,COMP 100,72,230
71153655,Hammett,Avery,Senior,COMP 110,148,556
41593861,Mohammad,Bond,Grad,COMP 110,99,133
75099545,Dylan,Estes,Grad,COMP 182,158,469
44625058,Aubrey,Barnes,Freshman,COMP 182,30,18
77508952,Ali,Schultz,Freshman,COMP 100,25,54
14713939,Ayanna,Thompson,Freshman,COMP 182,0,0
12057900,Levi,Cochran,Junior,COMP 100,82,181
63741953,Grant,Roberts,Sophomore,COMP 110,76,12
49588731,Tasha,Wise,Junior,COMP 182,23,71
90564104,Jesse,Oliver,Sophomore,COMP 182,36,45
82428381,Colette,Gilmore,Freshman,COMP 110,37,98
54073468,Ahmed,Farmer,Junior,COMP 100,58,97
1683853,Whitney,Boone,Junior,COMP 100,105,306
611767,Cairo,Mcmahon,Freshman,COMP 100,26,2
67410943,Kane,Patterson,Grad,COMP 100,113,185
19311577,Dorian,Shaw,Sophomore,COMP 100,1,2
49865463,Josephine,Dennis,Sophomore,COMP 182,34,19
45154681,Amanda,Walters,Sophomore,COMP 182,32,59
53767877,Shea,Foreman,Grad,COMP 110,24,52
67915452,Justin,Griffin,Sophomore,COMP 100,68,30
21203056,Uriah,Acevedo,Grad,COMP 182,118,459
21627264,Donna,Le,Grad,COMP 100,97,107
10558863,Wyoming,Thornton,Grad,COMP 182,51,163
24560542,Darryl,Gaines,Freshman,COMP 110,5,3
45010851,Wynter,Sandoval,Sophomore,COMP 110,11,31
94498697,Barry,Moreno,Freshman,COMP 110,19,48
50990818,Kristen,Nixon,Junior,COMP 100,111,267
63954216,Tiger,Valdez,Freshman,COMP 100,12,10
49407555,Cora,Richards,Senior,COMP 182,3,5
51877372,Shellie,Battle,Grad,COMP 110,42,87
14801290,Carlos,Lamb,Freshman,COMP 182,4,13
34386670,Lars,Fitzgerald,Grad,COMP 110,78,239
15756628,Katell,Gonzales,Freshman,COMP 100,3,7
8784206,Baxter,Thornton,Sophomore,COMP 182,36,41
46990037,Freya,Pope,Freshman,COMP 182,23,4
23709164,Melanie,Bowers,Junior,COMP 182,57,148
36145430,Mona,Bennett,Sophomore,COMP 110,9,2
79905007,Gillian,Bean,Grad,COMP 182,112,62
16817061,Marsden,Brewer,Senior,COMP 110,41,61
90617004,Abdul,Odonnell,Freshman,COMP 182,9,31
90508817,Sybil,Bolton,Freshman,COMP 182,2,6
69338377,Jessamine,Harmon,Senior,COMP 110,43,161
81406623,Adara,Buck,Sophomore,COMP 100,7,21
44205729,Beck,Bryan,Sophomore,COMP 182,44,107
11916693,Gavin,Acosta,Grad,COMP 182,72,110
83372271,Cedric,Kelley,Sophomore,COMP 110,9,12
72207500,Charde,Burks,Sophomore,COMP 100,42,35
64781416,Brenden,Maldonado,Junior,COMP 182,63,75
40475496,Lacy,Garrison,Senior,COMP 110,142,461
89185397,Kimberley,Stein,Freshman,COMP 100,26,85
66626476,Gillian,Ferrell,Sophomore,COMP 100,4,0
51842292,Heather,Norman,Junior,COMP 100,82,3
15320099,Finn,Cole,Freshman,COMP 110,34,72
99275610,Quentin,Stuart,Senior,COMP 182,16,63
98615394,Eaton,Joseph,Senior,COMP 110,44,51
68405327,Audra,Dominguez,Senior,COMP 110,78,168
44089865,Josephine,Bean,Sophomore,COMP 110,73,79
77389591,Clare,Goff,Junior,COMP 110,111,122
85620442,Abigail,Carrillo,Senior,COMP 100,80,172
731011,Yoshio,Jenkins,Grad,COMP 110,17,55
62094544,Hashim,Long,Senior,COMP 100,134,257
22728900,Rafael,Massey,Sophomore,COMP 100,63,90
41837613,Martena,Barker,Freshman,COMP 100,10,31
37018588,Lamar,Weber,Grad,COMP 182,64,169
33330688,Gabriel,Cohen,Junior,COMP 110,0,0
55941429,Clinton,Hamilton,Junior,COMP 110,115,390
81008722,Mannix,Greer,Freshman,COMP 100,6,9
81931258,Nicole,Dillon,Sophomore,COMP 100,34,98
8275442,Wynter,Benjamin,Senior,COMP 182,126,181
46209831,Ulric,Lynch,Sophomore,COMP 100,21,28
36470859,Clayton,House,Grad,COMP 110,22,32
57230008,Ila,Hinton,Senior,COMP 110,91,317
54184387,Stone,Cunningham,Freshman,COMP 100,11,1
61176040,Zia,Martin,Senior,COMP 110,6,1
98414923,Judith,Townsend,Grad,COMP 100,100,23
30662320,Upton,Tucker,Junior,COMP 100,29,76
85864694,Tiger,Garza,Senior,COMP 182,35,8
64650248,Cade,Richard,Freshman,COMP 100,3,1
91743497,Rhiannon,Wilder,Sophomore,COMP 110,8,10
72764073,Hilary,Barnett,Senior,COMP 100,77,18
75354235,Lyle,Terry,Grad,COMP 110,150,593
6402493,Armando,Cooper,Senior,COMP 100,120,413
40949674,Uriel,Raymond,Grad,COMP 182,96,366
63206348,Steel,Taylor,Sophomore,COMP 100,12,8
85688486,Rhona,Carter,Senior,COMP 110,151,572
66375294,Tatyana,Best,Sophomore,COMP 182,20,36
18518242,Clinton,Ware,Junior,COMP 182,71,128
15632287,Lucius,Mcbride,Grad,COMP 110,18,69
77521266,Rylee,Morales,Freshman,COMP 100,28,55
59611083,Gisela,Jacobson,Freshman,COMP 182,15,50
65015659,Daquan,Velez,Junior,COMP 110,108,314
60496841,Shay,Fischer,Grad,COMP 182,31,113
59295437,Fritz,Horn,Freshman,COMP 100,0,0
61596814,Asher,Howell,Grad,COMP 182,101,56
17431746,Ebony,Justice,Senior,COMP 110,98,74
17655434,Victoria,Gilbert,Freshman,COMP 110,30,69
27492192,Castor,Collier,Freshman,COMP 100,28,17
73610777,Aubrey,Delgado,Freshman,COMP 100,30,72
76654109,Tatum,Wilcox,Freshman,COMP 182,19,73
32174899,Kaitlin,Velez,Sophomore,COMP 182,34,53
45476675,Ishmael,Hudson,Grad,COMP 110,109,383
63774078,Sydnee,Mcdaniel,Sophomore,COMP 182,67,65
4560344,Brenna,Colon,Sophomore,COMP 100,62,96
27233686,Jessica,Head,Junior,COMP 110,93,188
9957057,Chandler,Stark,Senior,COMP 110,150,105
76445997,Clio,Charles,Grad,COMP 182,42,62
87745631,Lunea,Bradley,Senior,COMP 182,159,619
92320268,Bianca,Campbell,Junior,COMP 182,48,134
31261051,Roth,Finch,Freshman,COMP 182,3,3
